"","variable","missingValues","class","distinctValues","perMissingValues","sampleValue","nonMissingValues","missingPercentage","minimum","mean","maximum","stdDeviation","variance","p01","p05","p10","p25","p50","p75","p90","p95","p99","numOutliers"
"983","TM.VAL.TRVL.ZS.WT",3838,"numeric",1583,70.81,NA,1582,70.81,-448.832541649306,21.1563181030239,91.0370083643418,17.803244197785,316.955503965964,0.979779897876141,4.79750468684907,7.57154110592682,13.0745692799552,19.6550413671417,27.9510258939278,36.5608474372357,43.4571868862143,64.8854108750273,49
"984","TT.PRI.MRCH.XD.WD",1697,"numeric",3354,31.31,"98.9246401421",3723,31.31,21.3967189981,108.459825084978,290.9034635697,33.2454512168461,1105.26002661169,56.155489514688,71.36176845721,80.09569720992,92.075092574,100,113.83467057555,151.92636542134,182.10922022604,231.12900675654,473
"985","TX.QTY.MRCH.XD.WD",1618,"numeric",3605,29.85,"104.3691249925",3802,29.85,0.123737533,148.559543554855,10261.6882327736,268.483361030728,72083.315150356,25.00053067426,45.45387994038,63.9202067986,88.413621239825,111.15628523885,161.278741645975,239.01773048909,325.21024408797,611.669730009514,282
"986","TX.VAL.AGRI.ZS.UN",1882,"numeric",3528,34.72,"2.30594237692089",3538,34.72,0,4.45194174484155,98.94720723049,9.56419029630592,91.4737360239523,0.00089983684884254,0.0197232756100925,0.0683299479876985,0.534740632447405,1.67777126028006,4.18665090180182,9.66236198786803,15.634399420891,59.2210331842315,354
"987","TX.VAL.FOOD.ZS.UN",1860,"numeric",3561,34.32,"96.1881529078095",3560,34.32,0,25.9547043088144,364.696787648318,27.2252160225369,741.212387473801,0.0521808775522265,0.694317164947767,2.08836654858636,6.0134006915825,15.3064940097318,37.9924868327875,71.26693871428,85.7565900891862,96.8584174816694,174
"988","TX.VAL.FUEL.ZS.UN",2010,"numeric",3255,37.08,NA,3410,37.08,0,15.3208732793579,99.7901853088536,26.2667757546923,689.943508547293,0,1.56664718232649e-05,0.00546142631983129,0.422178589951352,3.19234832482227,13.4489071227756,64.1396093569007,87.5203568707894,96.8706736875312,526
"989","TX.VAL.ICTG.ZS.UN",3228,"numeric",2193,59.56,NA,2192,59.56,1.228e-07,4.72902924917076,63.6361218549,9.06854341945442,82.2384797505301,0.001210646296,0.010721173365,0.03371975982,0.13568457095,0.7007071649,4.279962597375,16.37234078229,25.533657281715,44.5308769272781,327
"990","TX.VAL.INSF.ZS.WT",2176,"numeric",3237,40.15,"1.0627659516256",3244,40.15,-40.3726708074534,5.05018542647551,100,8.51588174748553,72.5202419371572,0.00726002658969948,0.127627671322736,0.279139699241733,0.920144333235221,2.33033023598942,5.65131842120311,12.0586363915004,18.0061684866342,38.216755873711,307
"991","TX.VAL.MANF.ZS.UN",1861,"numeric",3559,34.34,"77.027890272565",3559,34.34,0,44.7153919714987,99.1472142461876,30.9608114775303,958.571847347173,0.115584825119411,2.09520180571884,4.68201824925017,13.8459304421748,44.5609060061286,74.5711653973339,85.3752080668079,89.9448080422915,95.7550900132781,0
"992","TX.VAL.MMTL.ZS.UN",1905,"numeric",3496,35.15,"6.4371146795522",3515,35.15,0,7.6511581570781,88.8122864492904,13.8841988443265,192.770977548798,0.000215492716176127,0.0233754069084381,0.125316828461719,0.663097940673524,2.40804068646684,6.94639864783863,21.8122408369509,40.5757492298555,68.5048427036631,455
"993","TX.VAL.MRCH.AL.ZS",1431,"numeric",3849,26.4,"4.04988965724289",3989,26.4,0,5.01652840545243,98.8789784784084,11.9425492828752,142.624483373903,0,0.00127503388824785,0.0270147123630667,0.265870968514001,1.51309447790879,4.17342975647743,10.5600301915018,19.4765295084766,73.8666568523079,423
"994","TX.VAL.MRCH.CD.WT",601,"numeric",4299,11.09,"2.8493e+10",4819,11.09,10000,51005757646.7626,2.342293e+12,156878167185.916,2.46107593396121e+22,5e+06,20180000,55940000,4.69e+08,2.817e+09,24249650000,130810509567.371,284519626450.499,687914079999.998,804
"995","TX.VAL.MRCH.HI.ZS",1021,"numeric",4399,18.84,"74.305005876455",4399,18.84,0,68.509468747495,100,21.0373563479881,442.570362112236,9.354938180051,25.7761360910224,37.4033569961571,56.7022605291269,72.8614096443905,85.1107769621731,92.0024107246369,94.5707508650998,97.9572317940447,76
"996","TX.VAL.MRCH.OR.ZS",1909,"numeric",3478,35.22,"1.46674343718679",3511,35.22,0,15.2448573891844,84.9525999397069,14.4564809848111,208.989842464204,1.24424940009581e-05,0.442425045616747,1.27504915221566,4.9723745880986,10.8802882628573,20.7801832819189,35.9063036327087,46.6421731340398,63.1373540524362,212
"997","TX.VAL.MRCH.R1.ZS",2577,"numeric",2821,47.55,"2.07328877774031",2843,47.55,0,7.18755277314375,81.0118860123504,10.9561426220353,120.03706115438,0.0012597708590252,0.11003835860872,0.281151841377124,0.974997854582052,2.71642384481213,8.71889117207686,19.5682026811863,29.845960567047,57.1052773615035,264
"998","TX.VAL.MRCH.R2.ZS",2734,"numeric",2643,50.44,"37.3927488945923",2686,50.44,0,5.58381683688138,100,10.4925701815231,110.094029014187,0,0.00997642331624989,0.0665290471756266,0.391641200547379,1.28324739252288,5.25480870727817,17.1903137897338,27.1918474819086,53.3322064145957,357
"999","TX.VAL.MRCH.R3.ZS",1650,"numeric",3642,30.44,"13.6960555043473",3770,30.44,0,5.13010172137295,65.8024950044217,9.91599176767049,98.3268927365089,0,0.00214797064823336,0.0147878135152308,0.185257069609527,0.948912797683217,3.3789493845931,19.2675336174604,28.4779004868968,44.5727460853163,675
"1000","TX.VAL.MRCH.R4.ZS",1401,"numeric",3781,25.85,NA,4019,25.85,0,2.69892371917779,98.8756577569816,6.27875261689851,39.4227344242099,0,0,0.00469695182351371,0.127248005992292,0.877490146071637,2.52549710421158,6.28325786108564,10.5004033899227,28.9943619310759,411
"1001","TX.VAL.MRCH.R5.ZS",1408,"numeric",3805,25.98,"0.00689970414662951",4012,25.98,0,2.9627070615228,72.6578179164386,6.63826584212714,44.066573390752,0,0,0.0167815992615166,0.147122540297499,0.7139745860868,2.60284643367111,8.34645369143554,13.4397373115885,30.7367397268879,513
"1002","TX.VAL.MRCH.R6.ZS",1768,"numeric",3555,32.62,"3.18501401507475",3652,32.62,0,4.91861971457328,89.3396227974096,10.736634302858,115.275316153307,0,0.00828553266668263,0.0387702497333192,0.286190026535705,1.13168250639511,3.19119010972504,14.520381088505,27.5515046524489,54.3228908565594,573
"1003","TX.VAL.MRCH.RS.ZS",978,"numeric",4390,18.04,NA,4442,18.04,-0.10628583296485,9.84563048572863,100,18.0811038478666,326.926316357335,-7.24313252401329e-12,0.00622895430034641,0.0434567407821718,0.511120032052155,2.6494207195464,9.84069052292334,27.4177706940424,51.8052045666967,90.5048674850183,498
"1004","TX.VAL.MRCH.WL.CD",978,"numeric",4443,18.04,NA,4442,18.04,91818.1818182,50574725295.0161,2343220902457,153252211935.551,2.3486240463139e+22,7361674.03031377,38898451.0269875,94765510.736867,474320513.57425,2819041799.3945,25654117300,130912678308.75,275027543157.774,689173508618.78,714
"1005","TX.VAL.MRCH.WR.ZS",2797,"numeric",2609,51.61,"20.4228536232501",2623,51.61,0,17.3724216807993,100,16.0433309682535,257.388468556922,0.170570507272081,1.16897046329595,2.00017103979916,5.0669255871105,12.0659184992862,25.2871164080035,40.4956370263923,50.2044485774264,68.5995065856383,100
"1006","TX.VAL.MRCH.XD.WD",899,"numeric",4284,16.59,"460.9105321932",4521,16.59,0.1966568338,208.790526863609,14708.2703536326,397.501357952482,158007.329574067,22.44813080696,46.0655980545,61.0131663804,88.5195330543,119.9182375653,234.017505963,412.1080006119,584.7911983778,1185.682989773,384
"1007","TX.VAL.OTHR.ZS.WT",1727,"numeric",3664,31.86,"45.1097487717454",3693,31.86,-107.232608029421,29.438560382477,1363.35403726708,31.5417311201004,994.880802052712,-1.76214598468504e-14,2.92826477286153,6.41828001920871,12.9280322121065,24.8654131682768,41.993281075028,57.8037530372451,68.9200287427414,85.2162632153621,35
"1008","TX.VAL.SERV.CD.WT",1646,"numeric",3761,30.37,"3008266693.04008",3774,30.37,-6200000,14821304291.2379,6.90127e+11,44737071781.886,2.00140559161762e+21,6187102.47394988,30504806.3584728,63610350.8945693,236535888.888889,1225487318.9955,8160500000,39931756444.0498,80992397004.6421,225305145791.594,557
